ID,Judul,Penulis,Tahun,Jenis
1,Pengembangan Sistem Informasi untuk Pendidikan,Eka,2023,Tesis
2,Analisis Big Data di Rumah Sakit,Budi,2018,Konferensi
3,Pengembangan AI untuk Pendidikan,Joko,2020,Konferensi
4,Penerapan Teknologi di Lingkungan Kerja,Sandi,2024,Jurnal
5,Kajian UMKM di Lingkungan Kerja,Dewi,2021,Makalah
6,Analisis Sains di Lingkungan Kerja,Citra,2023,Tesis
7,Kajian UMKM untuk Pendidikan,Lina,2021,Makalah
8,Analisis Big Data di Indonesia,Fajar,2022,Makalah
9,Analisis Sistem Informasi untuk Pendidikan,Eka,2024,Konferensi
10,Pengembangan Ekonomi di Rumah Sakit,Rani,2020,Jurnal
11,Kajian Teknologi di Indonesia,Rani,2019,Konferensi
12,Implementasi Sains pada UMKM,Hadi,2023,Tesis
13,Pengembangan IoT di Rumah Sakit,Putri,2023,Makalah
14,Kajian IoT pada UMKM,Rani,2024,Konferensi
15,Pengembangan IoT pada UMKM,Maman,2022,Makalah
16,Pengembangan AI di Indonesia,Omar,2021,Makalah
17,Penerapan Big Data di Rumah Sakit,Budi,2019,Tesis
18,Implementasi Medis untuk Pendidikan,Nina,2022,Makalah
19,Pengembangan Teknologi pada UMKM,Hadi,2022,Konferensi
20,Kajian Big Data di Indonesia,Gina,2020,Jurnal
21,Kajian Medis pada UMKM,Wawan,2020,Konferensi
22,Penerapan Teknologi untuk Pendidikan,Eka,2018,Tesis
23,Implementasi IoT di Lingkungan Kerja,Hadi,2023,Makalah
24,Implementasi Teknologi di Lingkungan Kerja,Citra,2020,Jurnal
25,Kajian Medis di Indonesia,Budi,2018,Jurnal
26,Penerapan Sistem Informasi pada UMKM,Eka,2018,Jurnal
27,Pengembangan Big Data di Rumah Sakit,Wawan,2022,Konferensi
28,Analisis Sistem Informasi pada UMKM,Hadi,2023,Tesis
29,Implementasi Blockchain di Rumah Sakit,Gina,2023,Jurnal
30,Analisis UMKM pada UMKM,Budi,2019,Makalah
31,Analisis AI di Indonesia,Dewi,2019,Makalah
32,Kajian Blockchain di Rumah Sakit,Kiki,2018,Jurnal
33,Implementasi Sistem Informasi pada UMKM,Indah,2021,Tesis
34,Pengembangan Ekonomi untuk Pendidikan,Rani,2020,Jurnal
35,Analisis Ekonomi pada UMKM,Dewi,2024,Jurnal
36,Pengembangan Big Data pada UMKM,Wawan,2020,Makalah
37,Implementasi Sains di Rumah Sakit,Dewi,2024,Jurnal
38,Penerapan UMKM untuk Pendidikan,Qori,2018,Jurnal
39,Analisis AI untuk Pendidikan,Lina,2019,Tesis
40,Analisis Sains di Indonesia,Fajar,2024,Makalah
41,Pengembangan Medis di Lingkungan Kerja,Eka,2020,Makalah
42,Analisis IoT pada UMKM,Putri,2022,Tesis
43,Penerapan AI untuk Pendidikan,Qori,2023,Makalah
44,Penerapan Ekonomi di Indonesia,Eka,2019,Jurnal
45,Pengembangan Sistem Informasi di Indonesia,Maman,2023,Konferensi
46,Kajian Ekonomi di Rumah Sakit,Dewi,2018,Jurnal
47,Pengembangan Sistem Informasi pada UMKM,Joko,2024,Tesis
48,Pengembangan Sains di Rumah Sakit,Nina,2024,Konferensi
49,Penerapan Blockchain di Lingkungan Kerja,Indah,2024,Tesis
50,Implementasi Sains untuk Pendidikan,Andi,2018,Tesis
51,Pengembangan Big Data pada UMKM,Rani,2018,Tesis
52,Pengembangan Medis di Indonesia,Sandi,2020,Konferensi
53,Kajian Big Data untuk Pendidikan,Qori,2018,Jurnal
54,Penerapan UMKM pada UMKM,Gina,2021,Jurnal
55,Analisis Blockchain pada UMKM,Joko,2022,Konferensi
56,Analisis Ekonomi untuk Pendidikan,Qori,2020,Jurnal
57,Implementasi Sains di Lingkungan Kerja,Indah,2022,Tesis
58,Kajian Ekonomi di Indonesia,Kiki,2023,Konferensi
59,Implementasi Sains pada UMKM,Fajar,2020,Jurnal
60,Analisis Big Data di Rumah Sakit,Eka,2024,Tesis
61,Analisis Sains di Indonesia,Wawan,2021,Konferensi
62,Kajian AI di Indonesia,Hadi,2022,Tesis
63,Penerapan IoT di Rumah Sakit,Lina,2020,Konferensi
64,Pengembangan Blockchain di Rumah Sakit,Lina,2021,Tesis
65,Implementasi IoT untuk Pendidikan,Hadi,2024,Jurnal
66,Analisis AI untuk Pendidikan,Dewi,2023,Jurnal
67,Pengembangan Big Data pada UMKM,Eka,2024,Tesis
68,Kajian UMKM di Indonesia,Putri,2021,Tesis
69,Analisis IoT di Rumah Sakit,Wawan,2023,Makalah
70,Kajian AI di Indonesia,Citra,2018,Tesis
71,Implementasi Teknologi di Indonesia,Nina,2022,Tesis
72,Implementasi AI pada UMKM,Indah,2024,Konferensi
73,Kajian AI pada UMKM,Budi,2021,Jurnal
74,Penerapan Big Data untuk Pendidikan,Kiki,2020,Konferensi
75,Implementasi Ekonomi di Lingkungan Kerja,Budi,2020,Konferensi
76,Analisis Sistem Informasi untuk Pendidikan,Qori,2020,Jurnal
77,Pengembangan Teknologi di Rumah Sakit,Kiki,2023,Tesis
78,Implementasi Sains pada UMKM,Lina,2021,Tesis
79,Analisis Sains di Indonesia,Indah,2018,Tesis
80,Penerapan Sains di Rumah Sakit,Nina,2021,Jurnal
81,Implementasi UMKM di Lingkungan Kerja,Eka,2024,Makalah
82,Kajian Medis di Indonesia,Eka,2022,Konferensi
83,Implementasi Medis pada UMKM,Eka,2019,Tesis
84,Kajian Medis untuk Pendidikan,Fajar,2018,Jurnal
85,Kajian Ekonomi untuk Pendidikan,Nina,2018,Jurnal
86,Kajian AI di Lingkungan Kerja,Rani,2018,Jurnal
87,Penerapan AI di Lingkungan Kerja,Qori,2022,Tesis
88,Penerapan UMKM di Indonesia,Hadi,2020,Tesis
89,Kajian Sistem Informasi di Rumah Sakit,Wawan,2018,Konferensi
90,Pengembangan AI untuk Pendidikan,Gina,2019,Jurnal
91,Implementasi UMKM di Indonesia,Kiki,2024,Jurnal
92,Analisis Ekonomi di Lingkungan Kerja,Gina,2021,Konferensi
93,Kajian Ekonomi di Lingkungan Kerja,Joko,2019,Konferensi
94,Analisis UMKM pada UMKM,Indah,2018,Jurnal
95,Implementasi IoT di Lingkungan Kerja,Rani,2021,Makalah
96,Implementasi Teknologi di Lingkungan Kerja,Citra,2018,Tesis
97,Implementasi Big Data di Lingkungan Kerja,Indah,2020,Makalah
98,Penerapan Big Data di Indonesia,Fajar,2022,Konferensi
99,Penerapan IoT pada UMKM,Omar,2024,Tesis
100,Penerapan IoT pada UMKM,Kiki,2022,Tesis
